Monit_MAP_CODE1,Year,mean_TOTAL_TAX,mean_SALE_VALUE,mean_FIN_SQ_FT,mean_ACRES_DEED,pct_garage_yes,homestead_y_count,homestead_n_count,GREEN_ACRE_y_count,GREEN_ACRE_n_count,LAKE_NAME,latitude,longitude,avg_secchi_depth,avg_total_phosphorus
27071100-01,2009,8273.989255467071,187786.72911136394,993.549740867147,0.0,100.0,6331,1580,0,7911,Westwood Lake,44.97082571,-93.38765176,1.0333333333333334,0.0405
70002600-01,2009,0.0,179098.83870967742,1211.7847926267282,0.3645207373271889,NaN,1949,221,4,0,Lower Prior Lake,44.73480944,-93.41536363,3.1866666666666665,0.025666666666666664
82002000-01,2009,234420.15098722416,107700.13879210221,1125.1209833526907,0.5360898180410392,NaN,0,0,0,0,McKusick Lake,45.060821,-92.8257844,2.6234285714285717,0.05621428571428571
82003400-01,2009,320370.3703703704,0.0,643.4814814814815,26.445925925925934,NaN,0,0,2,0,East Boot Lake,45.16485991,-92.83095448,2.6128571428571434,0.023999999999999997
82005400-01,2009,235098.1776765376,70547.85876993166,962.5922551252847,6.668929384965833,NaN,0,0,42,0,Bone Lake,45.28659868,-92.86026082,1.8083333333333333,0.039416666666666676
82007700-01,2009,309376.6355140187,74411.68224299066,1435.752336448598,9.12906542056075,NaN,0,0,18,0,Goggins Lake,45.13303508,-92.89283249,1.0885714285714287,0.09328571428571429
82008700-01,2009,257803.79867549668,113414.69185820024,1121.1291780288275,2.0386497857420998,NaN,164,294,164,402,Regional Park Lake,44.80553214,-92.90248396,2.460285714285714,0.05228571428571428
82008900-01,2009,403840.1706231454,206690.19102373888,1399.478115727003,0.5263575667655668,NaN,0,0,7,0,Markgraf Lake,44.94046314,-92.89723902,0.35230769230769227,0.2367692307692308
82009002-01,2009,337745.85399449035,96524.39077134986,1652.0986225895317,0.44854407713498873,NaN,0,0,0,0,Wilmes Lake,44.92794439,-92.91260488,1.4272727272727275,0.0720909090909091
82009200-01,2009,419802.0815986678,261852.2830974188,1726.6353039134056,0.6171357202331388,NaN,0,0,0,0,Powers Lake,44.92635622,-92.89985034,2.5037142857142856,0.03542857142857143
82009400-01,2009,330720.6740174284,158748.28445669572,1817.5672239018318,0.6043793348746217,NaN,0,0,18,0,Colby Lake,44.91007106,-92.90834129,0.5333333333333333,0.12533333333333332
82009700-01,2009,264610.53910886706,141605.12649481796,1471.9704136770308,1.1866905837540893,100.0,0,0,36,12,La Lake,44.88725237,-92.9713984,0.9624999999999999,0.133875
82010100-01,2009,373848.78892733564,100556.20069204153,1184.6020761245675,2.1335986159169544,NaN,0,0,4,0,DeMontreville Lake,45.02166106,-92.93991097,3.038461538461538,0.022000000000000002
82010300-01,2009,276785.0084222347,126143.08478382931,1327.7153284671533,0.8821167883211655,NaN,0,0,0,0,Olson Lake,45.01857051,-92.94542621,3.228571428571428,0.01871428571428571
82010400-01,2009,345682.43831640057,101028.4557329463,1548.9433962264152,2.3475761973875153,NaN,0,0,12,0,Jane Lake,45.01606807,-92.92227254,4.518181818181817,0.013636363636363636
82011602-01,2009,352693.53941772983,169016.12266928362,1151.1987242394505,0.7056247955511885,NaN,0,0,4,0,Armstrong Lake,44.96252306,-92.93917709,1.114285714285714,0.05892857142857144
82012200-01,2009,528062.9842180775,272010.2381635581,2261.5925394548062,5.498063127690095,NaN,0,0,14,0,Pine Tree Lake,45.10231359,-92.95386928,3.233333333333333,0.019166666666666665
82012300-01,2009,374644.60641399416,123430.5889212828,1611.9825072886297,6.970145772594748,NaN,0,0,10,0,Bass Lake,45.09714182,-92.91784653,1.7765384615384616,0.04938461538461539
82013700-01,2009,220487.4135021097,189131.83263009845,1709.1744022503517,2.715119549929676,98.33333333333333,0,0,10,493,Fish Lake,45.12242547,-92.97796745,1.5309473684210524,0.051631578947368424
82015300-01,2009,333966.6666666667,117212.7417654809,1500.1054018445323,6.677760210803697,NaN,0,0,22,0,Sunset Lake,45.13527125,-92.94157024,2.985714285714286,0.016142857142857143
82015900-01,2009,239142.48046875,80976.65991210938,907.9443359375,0.6826928710937531,NaN,0,0,0,0,Forest Lake,45.28220571,-92.96654615,1.9571428571428575,0.02392857142857143
82033400-01,2009,385701.11731843575,77941.89944134078,1245.072625698324,13.310111731843573,NaN,0,0,0,0,Kismet Lake,45.09536417,-92.8917326,1.034142857142857,0.03128571428571429
82036800-01,2009,385136.9491525424,128619.4813559322,1551.8305084745762,3.230593220338985,NaN,0,0,12,0,Klawitter Pond,45.03272598,-92.90854993,0.6192857142857141,0.1504285714285714
02000500-01,2010,3067.3992234380516,107842.3395693611,1625.2506177197317,0.0,69.18460995411225,1914,919,0,0,George Watch Lake,45.17640481,-93.08905468,0.4933333333333334,0.173
10000200-01,2010,1788.811224489796,225661.05072028813,1482.2749099639857,0.39304321728691516,93.89312977099237,2378,876,8,810,Riley Lake,44.83469027,-93.51695191,1.669230769230769,0.03769230769230769
10001100-01,2010,4297.494007989348,266323.2569906791,1988.600532623169,0.29794940079893484,89.68253968253968,0,0,0,751,St. Joe Lake,44.8756457,-93.62296909,2.15,0.022285714285714287
10001900-01,2010,4014.098321342926,252913.087529976,1715.4172661870505,0.6788489208633091,73.07462686567165,0,0,9,3323,Bavaria Lake,44.83812233,-93.63778927,1.5066666666666668,0.03586666666666668
10005200-01,2010,4602.086956521739,140277.8152173913,1343.9782608695652,8.658704710144928,47.227191413237925,0,0,21,1083,Reitz Lake,44.83862568,-93.74452179,2.0636363636363635,0.0640909090909091
10009500-01,2010,2988.462295081967,112773.15081967213,1227.5573770491803,15.856672131147526,55.55555555555556,0,0,11,599,Swede Lake,44.930824,-93.8182476,0.4821428571428571,0.4566428571428572
10012100-01,2010,2182.7858823529414,105678.76470588235,1154.550588235294,41.60016470588238,50.8695652173913,0,0,10,415,Eagle Lake,44.80860271,-93.93464391,0.6071428571428571,0.11492857142857145
19002100-01,2010,3227.4059173732635,140266.11906909617,2121.3727223525166,0.0,NaN,4770,662,0,5457,Alimagnet Lake,44.74812624,-93.24821298,0.9807692307692307,0.07646153846153846
19002200-01,2010,3255.4910644910647,158413.84265734267,2301.314944314944,0.0,NaN,7139,507,0,7660,Long Lake,44.7559202,-93.17320832,1.8045762711864406,0.07630508474576272
19002300-01,2010,3561.5344320188347,231550.11653914067,2452.6115361977636,0.0,NaN,5948,727,0,6703,Farquar Lake,44.75863717,-93.1646402,0.5885714285714284,0.10250000000000001
19002400-01,2010,5563.027190332326,144455.31495468278,2392.6801359516617,0.0,NaN,2131,491,0,2624,Wood Lake,44.74111827,-93.2658604,2.293846153846154,0.03992307692307692
19002500-01,2010,3040.368090452261,141865.92629815746,2233.4254606365157,0.0,NaN,2171,197,0,2378,Keller Lake,44.72650508,-93.2520238,0.7285714285714285,0.06892857142857142
19002601-01,2010,4177.405682715075,171437.6223362273,3009.6295185477506,0.6548887134964484,NaN,9040,3407,288,10446,Marion Lake,44.65825741,-93.27557035,1.5566666666666669,0.038533333333333336
19002700-01,2010,3306.4807184363444,144995.9683042789,2190.3681986265187,0.0,NaN,1641,212,0,1855,Crystal Lake,44.72296805,-93.27036573,1.2869565217391306,0.053521739130434794
19002900-01,2010,5801.045701006971,166569.53214562355,2672.3470178156467,0.0,NaN,938,323,0,1265,Lee Lake,44.71229881,-93.28746428,3.0416666666666665,0.027750000000000007
19003100-01,2010,2936.2996240601506,209957.2015037594,2187.9917293233084,2.293063909774435,NaN,1894,712,36,1913,Orchard Lake,44.7022537,-93.31089353,2.957142857142857,0.025142857142857144
19003300-01,2010,8477.111772486773,180364.6263227513,3274.4918430335097,0.0,NaN,3685,790,0,4501,Earley Lake,44.73975323,-93.29337284,1.6363636363636365,0.03818181818181818
19034800-01,2010,3437.910376734964,156409.21295439525,1889.4216787838732,0.0,NaN,6508,986,23,7491,Valley Lake,44.71508954,-93.20902364,1.5714285714285712,0.07057142857142859
19044600-01,2010,3405.110073901206,185276.13088292492,2454.796188253598,0.0,NaN,4727,372,2,5115,Lac Lavon Lake,44.72061708,-93.24520003,3.5076923076923086,0.01453846153846154
27003501-01,2010,6917.3978116451735,181351.4376709652,1263.7698319656115,0.0,100.0,4259,859,0,5118,Sweeney Lake,44.99052075,-93.34160616,1.2681818181818179,0.05395454545454545
27004201-01,2010,4851.818355437666,145714.15151193633,1001.6522015915119,0.0,100.0,7737,1688,0,9425,Twin Lake,45.05077632,-93.33618999,1.4131343283582094,0.07304477611940298
27005300-01,2010,3990.6844431632553,147922.52589603153,1026.2354184683386,0.0,100.0,8523,1884,0,10407,Cobblecrest Lake,44.95013,-93.39348337,0.2888888888888889,0.1291111111111111
27007000-01,2010,5215.514079747691,241759.0957422843,437.24442441991437,0.0,100.0,3906,533,0,4439,Mitchell Lake,44.85899641,-93.49817264,1.7461538461538466,0.044538461538461534
27062700-01,2010,4443.995904126214,142967.9447815534,1155.975500606796,0.0,100.0,11537,1647,0,13184,Northwood Lake,45.02556284,-93.39171496,0.9800000000000001,0.13689999999999997
27071100-01,2010,8223.662748072304,190000.9432435849,993.549740867147,0.0,100.0,6313,1598,0,7911,Westwood Lake,44.97082571,-93.38765176,1.327777777777778,0.022666666666666665
70002600-01,2010,0.0,193313.65593376264,1211.0832566697331,0.36385004599815995,NaN,1915,259,4,0,Lower Prior Lake,44.73480944,-93.41536363,2.7357142857142853,0.024999999999999998
82002000-01,2010,0.0,146062.3575949367,1116.6596343178621,0.548611111111115,100.0,3974,1714,2,5686,McKusick Lake,45.060821,-92.8257844,2.3507142857142855,0.031142857142857146
82003400-01,2010,0.0,0.0,668.2307692307693,30.05615384615386,100.0,12,14,2,24,East Boot Lake,45.16485991,-92.83095448,3.504285714285714,0.032857142857142856
82005400-01,2010,0.0,95181.44131455399,1013.586854460094,7.529014084507052,100.0,308,118,54,372,Bone Lake,45.28659868,-92.86026082,1.633333333333333,0.03291666666666668
82007700-01,2010,0.0,101177.72277227722,1483.6435643564357,10.412178217821788,100.0,184,18,24,178,Goggins Lake,45.13303508,-92.89283249,0.8050000000000004,0.12835714285714286
82008700-01,2010,48.277303091502255,200860.24359173529,1147.9911449432966,2.232623893117919,100.0,10312,2531,196,12647,Regional Park Lake,44.80553214,-92.90248396,1.9457142857142855,0.06542857142857143
82008900-01,2010,0.0,357353.03012820514,1407.3108974358975,0.6819230769230664,100.0,2342,778,2,3118,Markgraf Lake,44.94046314,-92.89723902,0.28357142857142853,0.2057142857142857
82009002-01,2010,0.0,214363.4530954312,1644.3346850500136,0.44937821032711645,100.0,6036,1362,0,7398,Wilmes Lake,44.92794439,-92.91260488,1.581818181818182,0.089
82009200-01,2010,0.0,351491.6688102894,1715.0434083601285,0.6273311897106104,100.0,932,312,0,1244,Powers Lake,44.92635622,-92.89985034,2.46,0.048785714285714286
82009400-01,2010,0.0,247392.5164495114,1848.492345276873,0.5967671009771988,100.0,10358,1922,22,12258,Colby Lake,44.91007106,-92.90834129,0.99,0.08411111111111111
82009700-01,2010,5.435915369819899,187615.31841230983,1529.2079034796293,1.356255464242023,100.0,8717,2721,50,11386,La Lake,44.88725237,-92.9713984,0.6166666666666667,0.12016666666666666
82010100-01,2010,0.0,103916.8865248227,1218.0354609929077,2.825957446808509,100.0,204,78,8,274,DeMontreville Lake,45.02166106,-92.93991097,2.9,0.035800000000000005
82010300-01,2010,0.0,143595.13238512035,1336.3643326039387,0.8694857768052492,100.0,1632,196,0,1828,Olson Lake,45.01857051,-92.94542621,2.330769230769231,0.026076923076923084
82010400-01,2010,0.0,115289.38348082596,1577.6991150442477,2.4791445427728624,100.0,592,86,14,664,Jane Lake,45.01606807,-92.92227254,4.533333333333334,0.014888888888888889
82011602-01,2010,0.0,207558.31491041603,1157.178864257516,0.8406923777710299,100.0,5138,1448,0,6586,Armstrong Lake,44.96252306,-92.93917709,0.9685714285714287,0.058571428571428566
82012200-01,2010,0.0,300463.4768786127,2267.916184971098,5.849132947976871,100.0,540,152,20,672,Pine Tree Lake,45.10231359,-92.95386928,3.375,0.0195
82012300-01,2010,0.0,142077.60240963855,1664.5843373493976,7.286024096385541,100.0,280,52,8,324,Bass Lake,45.09714182,-92.91784653,2.2096428571428564,0.05042857142857143
82013700-01,2010,1097.0976809557274,214642.84539704848,1739.624033731553,3.2193042867181894,99.34533551554829,1152,271,18,1401,Fish Lake,45.12242547,-92.97796745,1.1003225806451615,0.10551612903225806
82015300-01,2010,0.0,132749.33147632313,1579.4623955431755,7.2658774373259085,100.0,630,88,36,682,Sunset Lake,45.13527125,-92.94157024,3.15,0.02025
82015900-01,2010,0.0,108746.68177525968,918.8574126534467,0.7093956562795174,100.0,2652,1584,4,4232,Forest Lake,45.28220571,-92.96654615,1.8714285714285712,0.028071428571428574
82033400-01,2010,0.0,114290.11494252873,1304.4367816091954,14.499885057471262,100.0,144,30,20,154,Kismet Lake,45.09536417,-92.8917326,1.3164285714285715,0.04135714285714286
82036800-01,2010,0.0,160344.73702422145,1599.4498269896194,3.968927335640141,100.0,440,138,22,556,Klawitter Pond,45.03272598,-92.90854993,0.36363636363636354,0.1549090909090909
02000500-01,2011,3094.5150336045276,108492.70251149629,1614.2316943756632,3.539069685178637,69.18995401485674,1924,903,0,0,George Watch Lake,45.17640481,-93.08905468,0.9733333333333335,0.11941666666666667
10000200-01,2011,1805.0983213429256,225793.7616906475,1486.9292565947242,0.3926798561151083,92.94117647058823,2378,958,10,808,Riley Lake,44.83469027,-93.51695191,2.7636363636363637,0.050272727272727274
10001100-01,2011,4406.519307589881,270403.7656458056,1992.728362183755,0.2979494007989347,89.61384820239681,663,88,0,751,St. Joe Lake,44.8756457,-93.62296909,2.3777777777777778,0.022111111111111113
10001900-01,2011,3878.4238372093023,247166.89941860465,1710.4784883720931,0.6112267441860462,72.70348837209303,2278,1084,22,3414,Bavaria Lake,44.83812233,-93.63778927,2.5733333333333333,0.037133333333333345
10005200-01,2011,4828.637627432809,146552.90083410565,1387.430954587581,8.903447636700651,49.58294717330862,570,483,55,1024,Reitz Lake,44.83862568,-93.74452179,1.2545454545454544,0.07045454545454545
10009500-01,2011,2694.383606557377,113721.34754098361,1211.7229508196722,15.856672131147523,55.73770491803278,382,228,45,565,Swede Lake,44.930824,-93.8182476,0.35000000000000003,0.33192857142857146
10012100-01,2011,2117.5571095571095,105660.78088578089,1176.820512820513,42.406223776223804,52.21445221445221,361,68,25,404,Eagle Lake,44.80860271,-93.93464391,0.5250000000000001,0.19757142857142856
19002100-01,2011,3165.6454628780934,139737.22438130155,2213.5087076076993,0.0,NaN,4779,676,0,5455,Alimagnet Lake,44.74812624,-93.24821298,1.25,0.05741666666666667
19002200-01,2011,3198.582658657613,129772.20997649517,2318.2089318359886,0.0,NaN,7143,515,0,7658,Long Lake,44.7559202,-93.17320832,1.6823835616438352,0.09931506849315064
19002300-01,2011,3468.541434028798,127926.65030855128,2491.67396414928,0.0,NaN,5962,844,0,6806,Farquar Lake,44.75863717,-93.1646402,0.6142857142857144,0.0995
19002400-01,2011,5489.92568597561,138366.22789634147,2993.840320121951,0.0,NaN,2115,509,0,2624,Wood Lake,44.74111827,-93.2658604,1.1416666666666664,0.04850000000000001
19002500-01,2011,3010.4655172413795,135248.48948696384,2210.2043734230447,0.0,NaN,2179,199,0,2378,Keller Lake,44.72650508,-93.2520238,0.8384615384615386,0.06646153846153846
19002601-01,2011,4282.393264748433,116866.69176981192,3041.8640090017684,0.6630011252210254,NaN,9010,3432,306,10422,Marion Lake,44.65825741,-93.27557035,1.8821428571428573,0.031785714285714285
19002700-01,2011,3384.472521551724,140523.3609913793,2246.4498922413795,0.0,NaN,1623,233,0,1856,Crystal Lake,44.72296805,-93.27036573,1.9999999999999998,0.02542857142857143
19002900-01,2011,5925.120948616601,135100.25217391303,2739.9675889328064,0.0,NaN,924,341,0,1265,Lee Lake,44.71229881,-93.28746428,2.4,0.0377
19003100-01,2011,2963.86117467582,157978.06407322653,2286.9614797864224,2.4016666666666655,NaN,1884,738,34,1913,Orchard Lake,44.7022537,-93.31089353,2.839285714285715,0.033357142857142856
19003300-01,2011,9048.98600311042,158357.74938902466,3969.7433903576984,0.0,NaN,3695,806,0,4501,Earley Lake,44.73975323,-93.29337284,1.9625,0.0315
19034800-01,2011,3356.118179398456,104242.41123236626,2143.7266435986157,0.0,NaN,6454,1060,23,7491,Valley Lake,44.71508954,-93.20902364,1.7416666666666665,0.084
19044600-01,2011,3380.9919874926713,138300.14539769397,2470.405706468634,0.0,NaN,4717,400,2,5115,Lac Lavon Lake,44.72061708,-93.24520003,3.3,0.045076923076923084
27003501-01,2011,6904.2228515625,185333.61875,1263.276171875,0.0,100.0,4265,855,0,5120,Sweeney Lake,44.99052075,-93.34160616,1.1666666666666667,0.04138888888888889
27004201-01,2011,4682.791922832309,143655.15603137587,1000.6966292134831,0.0,100.0,7691,1743,0,9434,Twin Lake,45.05077632,-93.33618999,1.8500000000000003,0.06249999999999999
27005300-01,2011,4134.040411815645,150503.27095160203,1024.5258346964304,0.0,100.0,8542,1851,0,10393,Cobblecrest Lake,44.95013,-93.39348337,0.46666666666666656,0.10866666666666665
27007000-01,2011,5245.782765621475,244902.27385517707,437.28220166929844,0.0,100.0,3860,573,0,4433,Mitchell Lake,44.85899641,-93.49817264,2.0153846153846158,0.04569230769230769
27062700-01,2011,4490.702532605399,146976.64983318167,1155.6248862602365,0.0,100.0,11493,1695,0,13188,Northwood Lake,45.02556284,-93.39171496,0.9583333333333331,0.12541666666666665
27071100-01,2011,8149.864342553998,191771.93229758748,992.7967664519389,0.0,100.0,6273,1644,0,7917,Westwood Lake,44.97082571,-93.38765176,1.08375,0.033875
70002600-01,2011,0.0,192889.24723247232,1211.4755535055351,0.36529059040590395,NaN,1857,311,6,0,Lower Prior Lake,44.73480944,-93.41536363,4.15,0.02616666666666666
82002000-01,2011,0.0,150346.0724331927,1120.420534458509,0.0004219409282700422,100.0,4004,1682,2,5684,McKusick Lake,45.060821,-92.8257844,2.407,0.06680000000000001
82003400-01,2011,0.0,0.0,668.2307692307693,0.0,100.0,12,14,2,24,East Boot Lake,45.16485991,-92.83095448,2.866,0.0396
82005400-01,2011,0.0,101863.40375586854,1015.0892018779343,0.0,100.0,314,112,54,372,Bone Lake,45.28659868,-92.86026082,1.5266666666666668,0.05026666666666667
82007700-01,2011,0.0,98686.40776699029,1484.893203883495,0.3825242718446602,100.0,186,18,24,180,Goggins Lake,45.13303508,-92.89283249,1.281666666666667,0.11058333333333333
82008700-01,2011,45.4274074648871,201889.47978583068,1149.9794366415767,0.011974858384418408,100.0,10322,2565,199,12688,Regional Park Lake,44.80553214,-92.90248396,2.4785714285714286,0.061571428571428576
82008900-01,2011,0.0,357957.00896286813,1415.3175416133163,0.03144686299615877,100.0,2350,772,2,3120,Markgraf Lake,44.94046314,-92.89723902,0.4576923076923078,0.13215384615384612
82009002-01,2011,0.0,214641.921372602,1645.883815185085,0.007306133477438529,100.0,6020,1382,0,7402,Wilmes Lake,44.92794439,-92.91260488,1.6090909090909091,0.06327272727272727
82009200-01,2011,0.0,355824.4253611557,1728.5104333868378,0.021043338683788125,100.0,934,312,0,1246,Powers Lake,44.92635622,-92.89985034,2.3285714285714287,0.05871428571428572
82009400-01,2011,0.0,244103.2035084896,1844.4881306831899,0.1332775408384968,100.0,10432,1995,22,12405,Colby Lake,44.91007106,-92.90834129,0.9071428571428571,0.10378571428571429
82009700-01,2011,5.578099280949493,2238279.6860434897,1533.7634930260765,0.4281824482370264,100.0,8739,2786,54,11469,La Lake,44.88725237,-92.9713984,2.3,0.08119999999999998
82010100-01,2011,0.0,115901.30215827338,1267.0359712230215,0.0,100.0,198,80,8,270,DeMontreville Lake,45.02166106,-92.93991097,3.5140000000000002,0.021700000000000004
82010300-01,2011,0.0,143529.49945235488,1341.078860898138,0.0,100.0,1620,206,0,1826,Olson Lake,45.01857051,-92.94542621,3.757222222222222,0.02366666666666667
82010400-01,2011,0.0,125333.14076246334,1585.1554252199414,0.0,100.0,596,86,14,668,Jane Lake,45.01606807,-92.92227254,3.8949999999999996,0.022000000000000002
82011602-01,2011,0.0,209028.635426145,1156.871398240825,0.009153776160145587,100.0,5124,1468,0,6592,Armstrong Lake,44.96252306,-92.93917709,1.0714285714285714,0.03657142857142857
82012200-01,2011,0.0,318558.85260115605,2249.9884393063585,0.0,100.0,534,158,20,672,Pine Tree Lake,45.10231359,-92.95386928,2.727272727272727,0.024272727272727276
82012300-01,2011,0.0,153558.3253012048,1665.5963855421687,0.0,100.0,282,50,8,324,Bass Lake,45.09714182,-92.91784653,2.32025641025641,0.0487948717948718
82013700-01,2011,1176.6282501756853,213829.71117357694,1758.6359803232608,0.20369641602248786,99.3517017828201,1176,245,18,1405,Fish Lake,45.12242547,-92.97796745,1.760975609756097,0.07307317073170733
82015300-01,2011,0.0,140532.38718662952,1579.4122562674095,0.03097493036211699,100.0,626,92,36,682,Sunset Lake,45.13527125,-92.94157024,2.84,0.0269
82015900-01,2011,0.0,113535.2845030617,916.1723975506359,0.0,100.0,2602,1642,4,4240,Forest Lake,45.28220571,-92.96654615,1.5812499999999996,0.03746875000000001
82033400-01,2011,0.0,114290.11494252873,1304.4367816091954,0.0,100.0,142,32,26,148,Kismet Lake,45.09536417,-92.8917326,1.8283333333333334,0.042916666666666665
82036800-01,2011,0.0,159071.97569444444,1604.7256944444443,0.0,100.0,444,130,22,552,Klawitter Pond,45.03272598,-92.90854993,0.7445454545454546,0.09699999999999999
02000500-01,2012,3117.516460176991,111443.42867256637,1630.7019469026548,3.6062867256637143,69.87610619469027,1946,879,0,0,George Watch Lake,45.17640481,-93.08905468,0.35900000000000004,0.26489999999999997
10000200-01,2012,1808.6696669666967,224619.98469846984,1475.026102610261,0.34838883888388944,94.18604651162791,2369,964,8,3325,Riley Lake,44.83469027,-93.51695191,2.207142857142857,0.061857142857142854
10001100-01,2012,4473.717709720373,273908.0665778961,2003.8521970705726,0.2979494007989348,89.88015978695073,655,96,0,751,St. Joe Lake,44.8756457,-93.62296909,2.6714285714285717,0.016285714285714285
10001900-01,2012,3802.915338097856,256225.801264431,1752.2792743265531,0.623834524463991,73.28202308960967,2313,1177,25,3609,Bavaria Lake,44.83812233,-93.63778927,1.7291666666666667,0.04833333333333333
10005200-01,2012,4458.1641118124435,169359.8169522092,1631.394950405771,8.594427412082958,59.33273219116321,601,474,54,1055,Reitz Lake,44.83862568,-93.74452179,1.2999999999999998,0.105
10009500-01,2012,2795.8094462540716,116589.71172638437,1222.0537459283387,15.88827361563516,55.537459283387626,364,250,43,571,Swede Lake,44.930824,-93.8182476,0.3428571428571428,0.3673571428571429
10012100-01,2012,2197.1916859122402,111462.41801385682,1178.8706697459584,42.4586143187067,52.19399538106235,368,65,25,408,Eagle Lake,44.80860271,-93.93464391,2.1972727272727273,0.09690909090909092
19002100-01,2012,3133.665626720499,145279.73169388878,2216.1449807304093,0.0,NaN,4718,731,0,5449,Alimagnet Lake,44.74812624,-93.24821298,1.4045454545454545,0.0689090909090909
